Area,Sea,ShipName,Date,Month,Year,Cause,Notes,Reason,Latitude,Longitude
Atlantic,Mediterranean Sea,Nereide,8/5/15,8,1915,Torpedoed,Torpedoed by SM U-5 ,Intentional,42.383,16.267
Atlantic,Mediterranean Sea,HMHS Newfoundland,9/14/43,9,1943,Others,Attacked by German aircraft and scuttled ,Intentional,40.217,14.35
Atlantic,Mediterranean Sea,HMS P48,12/25/42,12,1942,Sunk,Sunk by Italian torpedo boats ,Intentional,37.25,10.5
Atlantic,Mediterranean Sea,HMAS Parramatta,11/27/41,11,1941,Torpedoed,Torpedoed by U-559.,Intentional,32.333,24.583
Atlantic,Mediterranean Sea,Italian cruiser Partenope,3/24/18,3,1918,Torpedoed,Torpedoed by SM UC-67.,Intentional,37.883,10.167
Atlantic,Mediterranean Sea,USS PC-558,5/9/44,5,1944,Torpedoed,Torpedoed by U-230.,Intentional,38.683,13.717
Atlantic,Mediterranean Sea,HMS Penelope,2/18/44,2,1944,Torpedoed,"Torpedoed by U-140 west of Naples, Italy.",Intentional,40.55,13.25
Atlantic,Mediterranean Sea,Italian cruiser Pola,3/29/41,3,1941,Sunk,Sunk in the Battle of Cape Matapan.,Intentional,35.317,20.983
Atlantic,Mediterranean Sea,HMS Quentin,12/2/42,12,1942,Sunk,Sunk by German aircraft.,Intentional,37.533,8.533
Atlantic,Mediterranean Sea,HMT Rohna,11/26/43,11,1943,Sunk,Sunk by German aircraft.,Intentional,37.02,5.20167
Atlantic,Mediterranean Sea,SS Russian,12/14/16,12,1916,Torpedoed,Torpedoed by U-43,Intentional,35.5,18.867
Atlantic,Mediterranean Sea,Saar,2/26/76,2,1976,Sunk,Sunk as a target ship ,Intentional,42.5,5.4
Atlantic,Mediterranean Sea,HMS Sahib,4/24/43,4,1943,Others,Attacked by the Climene and scuttled ,Intentional,37.483,10.767
Atlantic,Mediterranean Sea,SS Sant Anna,5/11/18,5,1918,Torpedoed,Torpedoed by UC-54,Intentional,37.04,11.36
Atlantic,Mediterranean Sea,SS Santa Elisa,8/13/42,8,1942,Torpedoed,Torpedoed by Italian motor boats,Intentional,36.333,11.467
Atlantic,Mediterranean Sea,USS Skill,9/25/43,9,1943,Torpedoed,Torpedoed by U-593.,Intentional,40.333,14.583
Atlantic,Mediterranean Sea,HMS Southampton,1/11/41,1,1941,Others,Attacked by German dive bombers ,Intentional,34.9,18.4
Atlantic,Mediterranean Sea,HMS Splendid,4/21/43,4,1943,Sunk,Sunk by Hermes ,Intentional,43.567,9.617
Atlantic,Mediterranean Sea,HMS Sportsman,9/24/52,9,1952,Sunk,"Sank off Toulon, France.",Unintentional,43.017,7.667
Atlantic,Mediterranean Sea,HMS Tempest,2/13/42,2,1942,Sunk,Sunk by the Italian destroyer Circe,Intentional,39.25,17.75
Atlantic,Mediterranean Sea,HMS Tynedale,12/12/43,12,1943,Torpedoed,Torpedoed by U-593,Intentional,37.167,6.083
Atlantic,Mediterranean Sea,SM U-32,5/8/18,5,1918,Sunk,Sunk by HMS Wallflower,Intentional,36.133,13.5
Atlantic,Mediterranean Sea,U-74,5/2/42,5,1942,Sunk,Sunk by British forces,Intentional,37.533,0.167
Atlantic,Mediterranean Sea,U-75,12/28/41,12,1941,Sunk,Sunk by HMS Kipling ,Intentional,31.833,26.667
Atlantic,Mediterranean Sea,U-79,12/23/41,12,1941,Sunk,Sunk by HMS Hasty and HMS Hotspur.,Intentional,32.25,25.317
Atlantic,Mediterranean Sea,U-95,11/28/41,11,1941,Torpedoed,Torpedoed by a Dutch submarine ,Intentional,36.4,-3.333
Atlantic,Mediterranean Sea,U-259,11/15/42,11,1942,Sunk,Sunk by a British aircraft ,Intentional,37.333,3.083
Atlantic,Mediterranean Sea,U-301,1/21/43,1,1943,Torpedoed,Torpedoed by HMS Sahib ,Intentional,41.45,7.067
Atlantic,Mediterranean Sea,U-371,5/4/44,5,1944,Sunk,Sunk by Allied destroyers ,Intentional,37.817,5.65
Atlantic,Mediterranean Sea,U-374,1/12/42,1,1942,Torpedoed,Torpedoed by HMS Unbeaten,Intentional,37.5,16
Atlantic,Mediterranean Sea,U-443,2/23/43,2,1943,Sunk,Sunk by British destroyers ,Intentional,36.917,2.417
Atlantic,Mediterranean Sea,U-557,12/16/41,12,1941,Torpedoed,Rammed by the Italian torpedo boat Orione ,Intentional,35.31,23.19
Atlantic,Mediterranean Sea,SM UB-52,5/23/18,5,1918,Sunk,Sunk by HMS H4 ,Intentional,41.6,18.867
Atlantic,Mediterranean Sea,SM UB-53,8/3/18,8,1918,Sunk,Sunk by mines in the Strait of Otranto.,Intentional,39.667,18.667
Atlantic,Mediterranean Sea,SM UB-66,1/18/18,1,1918,Sunk,Sunk by HMS Campanula,Intentional,38.5,24.417
Atlantic,Mediterranean Sea,SM UB-68,10/4/18,10,1918,Sunk,"Sunk northeast of Misrata, Libya.",Intentional,33.933,16.333
Atlantic,Mediterranean Sea,SM UB-69,1/9/18,1,1918,Sunk,Sunk by HMS Cyclamen ,Intentional,37.5,10.633
Atlantic,Mediterranean Sea,HMS Union,7/20/41,7,1941,Sunk,Sunk by the Italian torpedo boat Circe,Intentional,36.45639,11.70583
Atlantic,Mediterranean Sea,SS Verona,5/11/18,5,1918,Torpedoed,Torpedoed by UC-52,Intentional,37.067,16.317
Atlantic,Mediterranean Sea,RMS Viceroy of India,11/1/42,11,1942,Torpedoed,Torpedoed by U-407 ,Intentional,36.433,-0.4
Atlantic,Mediterranean Sea,SS Volo,12/28/41,12,1941,Torpedoed,Torpedoed by U-75,Intentional,31.75,26.8
Atlantic,Mediterranean Sea,Waitemata,7/14/18,7,1918,Torpedoed,Torpedoed by UB-105 ,Intentional,33.35,24.167
Atlantic,Mediterranean Sea,HMAT Wandilla,9/10/40,9,1940,Sunk,Sunk by British aircrafy ,Intentional,33.233,23.383
Atlantic,Mediterranean Sea,HMAS Waterhen,6/30/41,6,1941,Sunk,Sunk by German and Italian dive bombers ,Intentional,32.25,25.333
Atlantic,Mediterranean Sea,HMS Welshman,2/1/43,2,1943,Sunk,Torpedoed by U-617 ,Intentional,32.2,24.867
Atlantic,Mediterranean Sea,HMS Wryneck,4/27/41,4,1941,Sunk,Sunk by German aircraft ,Intentional,36.5,23.567
Atlantic,Mediterranean Sea,Italian cruiser Zara,3/29/41,3,1941,Sunk,Sunk by British battleships in the Battle of Cape Matapan.,Intentional,35.333,20.95
Atlantic,North Channel,HMS Zulu,9/14/42,9,1942,Sunk,Sunk by Italian aircraft ,Intentional,32,28.933
Atlantic,North Channel,HMS Bayano ,3/11/15,3,1915,Torpedoed,Torpedoed by U-27.,Intentional,55.05058,-5.43496
Atlantic,North Channel,SS Dettifoss,2/21/45,2,1945,Torpedoed,Torpedoed by U-1064.,Intentional,55.05,-5.483
Atlantic,North Channel,U-680,12/28/45,12,1945,Others,Scuttled as part of Operation Deadlight.,Intentional,55.4,-6.483
Atlantic,North Channel,U-968,11/29/45,11,1945,Others,Scuttled as part of Operation Deadlight.,Intentional,55.4,-6.367
Atlantic,North Channel,SM UB-82,4/17/18,4,1918,Sunk,Sunk by HMS Pilot Me and HMS Young Fred.,Intentional,55.217,-5.917
Atlantic,North Sea,HMS Amphion,8/6/14,8,1914,Others,Ran into a minefield.,Intentional,52.11,2.36
Atlantic,North Sea,HMS Ardent,6/1/16,6,1916,Sunk,Sunk by SMS Westfalen in the Battle of Jutland.,Intentional,56.7,5.867
Atlantic,North Sea,HMS Ariel,8/2/18,8,1918,Others,"Struck a mine east of Heligoland, Germany.",Intentional,54.167,8.067
Atlantic,North Sea,Bourbon Dolphin,4/15/07,4,2007,Others,"Capsized off Shetland, Scotland.",Intentional,59.9305,-0.439333
Atlantic,North Sea,HMS Coquette,3/7/16,3,1916,Others,"Hit a mine east of Clacton-on-Sea, England.",Intentional,51.75,1.5
Atlantic,North Sea,HMS Cressy,9/22/14,9,1914,Sunk,Sunk by SM U-9 in the Action of 22 September 1914.,Intentional,52.25028,3.66889
Atlantic,North Sea,SS Deutschland,12/6/1875,12,1875,Ran aground,Ran aground in a blizzard,Unintentional,51.5,1.37
Atlantic,North Sea,HMS Daring,2/18/40,2,1940,Torpedoed,Torpedoed by U-23.,Intentional,58.65,-1.667
Atlantic,North Sea,Doris,5/9/40,5,1940,Torpedoed,Torpedoed by U-9 ,Intentional,52.78933,3.81933
Atlantic,North Sea,HMS Dunoon,4/30/40,4,1940,Others,Struck a mine ,Intentional,52.75,2.383
Atlantic,North Sea,HMS Esk,8/31/40,8,1940,Others,Ran into a minefield,Intentional,53.44333,3.8
Atlantic,North Sea,HMS Exmouth,1/21/40,1,1940,Torpedoed,An E-class destroyer that was torpedoed by U-22 in the Moray Firth.,Intentional,58.3,-2.417
Atlantic,North Sea,HMS G9,9/16/17,9,1917,Others,Rammed by HMS Pasley,Intentional,61,3.333
Atlantic,North Sea,SMS Greif,2/29/16,2,1916,Others,Attacked by SS Alcantara and scuttled.,Intentional,61.75,1.167
Atlantic,North Sea,HMS Grenville,1/19/40,1,1940,Others,Struck a mine ,Intentional,51.65,2.283
Atlantic,North Sea,HMS Gurkha,4/9/40,4,1940,Sunk,Destroyer that was sunk by German bombers ,Intentional,59.21667,4
Atlantic,North Sea,MT Gustaf E. Reuter,11/27/39,11,1939,Torpedoed,Torpedoed by U-48 ,Intentional,59.633,-2.05
Atlantic,North Sea,HMS Invincible,5/31/16,5,1916,Sunk,Sunk by SMS Latzow and SMS Derfflinger in the Battle of Jutland.,Intentional,57.04444,6.12083
Atlantic,North Sea,HMS Itchen,7/6/17,7,1917,Torpedoed,Torpedoed by UC-44.,Intentional,58.583,-0.75
Atlantic,North Sea,HMS Ivanhoe,9/1/40,9,1940,Others,Struck a mine and was scuttled.,Intentional,53.445,3.75667
Atlantic,North Sea,HMS K1,11/18/17,11,1917,Others,Scuttled after a collision with HMS Blonde.,Intentional,56.33889,5.73056
Atlantic,North Sea,Leipzig,12/16/46,12,1946,Others,Scuttled with a cargo of gas munitions.,Intentional,57.883,6.217
Atlantic,North Sea,SS Linda ,2/11/40,2,1940,Torpedoed,Torpedoed by U-9.,Intentional,58.25,1.9
Atlantic,North Sea,SS Narva,12/22/57,12,1957,Others,"Foundered 180 nautical miles east of Aberdeen, Scotland.",Unintentional,57.467,3
Atlantic,North Sea,HMS Nottingham,8/19/16,8,1916,Torpedoed,Torpedoed by SM U-52 about ,Intentional,55.48167,0.19167
Atlantic,North Sea,HNLMS O 22,11/1/40,11,1940,Others,"Lost southwest of Stavanger, Norway. The wreck was rediscovered in 1993.",Unintentional,57.917,5.517
Atlantic,North Sea,SS Oslo,8/21/17,8,1917,Torpedoed,Torpedoed by SM U-87 ,Intentional,57.917,5.517
Atlantic,North Sea,HMS Shark,7/6/40,7,1940,Torpedoed,Sank under tow after being bombed by German aircraft.,Intentional,58.3,5.217
Atlantic,North Sea,HMS Spearfish,8/1/40,8,1940,Sunk,Sunk by U-34 off the Norwegian coast.,Intentional,57.833,11
Atlantic,North Sea,HMS Starfish,1/9/40,1,1940,Others,Attacked by a German destroyer and scuttled.,Intentional,55,7.167
Atlantic,North Sea,USS Stockton,10/23/40,10,1940,Sunk,"Beached off Fidra, Scotland, and sunk as a target.",Intentional,56.05,-0.75
Atlantic,North Sea,HMS Sunfish,7/27/44,7,1944,Sunk,Sunk by an RAF bomber.,Intentional,54.467,7.183
Atlantic,North Sea,USS Swasey,11/26/40,11,1940,Sunk,Sunk by a mine while under tow.,Intentional,56.483,-0.95
Atlantic,North Sea,SS Tubantia,3/16/16,3,1916,Torpedoed,Torpedoed by SM UB-13 ,Intentional,51.817,2.833
Atlantic,North Sea,SM U-12,3/10/15,3,1915,Sunk,Sunk by British destroyers ,Intentional,56.25,-1.933
Atlantic,North Sea, U-15,1/30/40,1,1940,Others,Rammed by the Iltis in the Broad Fourteens.,Intentional,54.4,7.833
Atlantic,North Sea,U-25,8/1/40,8,1940,Others,"Struck a mine north of Terschelling, Netherlands.",Intentional,54.233,5.117
Atlantic,North Sea,U-35,11/29/39,11,1939,Others,Attacked by British destroyers and scuttled.,Intentional,60.883,2.783
Atlantic,North Sea,U-36,12/4/39,12,1939,Torpedoed,Torpedoed by HMS Salmon near Wilhelmshaven.,Intentional,57,5.033
Atlantic,North Sea,U-44,3/13/40,3,1940,Others,Struck a mine,Intentional,54.233,5.117
Atlantic,North Sea,U-63,2/25/40,2,1940,Sunk,Sunk by British ships ,Intentional,58.667,-0.167
Atlantic,North Sea,U-251,4/19/45,4,1945,Sunk,Sunk by British and Norwegian aircraft in the Kattegat.,Intentional,56.617,11.85
Atlantic,North Sea,U-309,2/16/45,2,1945,Sunk,Sunk by HMCS Saint John in the Moray Firth.,Intentional,58.15,-2.383
Atlantic,North Sea,U-319,7/15/44,7,1944,Sunk,"Sunk by a British aircraft southwest of Lindesnes, Norway.",Intentional,57.667,5
Atlantic,North Sea,U-1232,3/4/46,3,1946,Sunk,Sank under tow.,Unintentional,54.183,7.4
Atlantic,North Sea,U-1274,4/16/45,4,1945,Sunk,Sunk by HMS Viceroy,Intentional,55.6,-1.4
Atlantic,North Sea,SM UB-4,8/15/15,8,1915,Sunk,Sunk by the Inverlyon.,Intentional,52.717,2.3
Atlantic,North Sea,SM UB-16,5/10/18,5,1918,Torpedoed,Torpedoed by HMS E34.,Intentional,52.1,2.017
Atlantic,North Sea,SM UB-54,3/11/18,3,1918,Sunk,Sunk by British destroyers ,Intentional,53.25,0.75
Atlantic,North Sea,SM UB-57,8/14/18,8,1918,Sunk,Sunk by a mine.,Intentional,51.933,2.033
Atlantic,North Sea,SM UB-63,1/28/18,1,1918,Sunk,Sunk by HMS W.S. Bailey and HMS Fort George.,Intentional,56.167,2
Atlantic,North Sea,SM UB-75,12/10/17,12,1917,Others,"Hit a mine east of Flamborough Head, Yorkshire.",Intentional,54.083,0.167
Atlantic,North Sea,SM UB-83,9/10/18,9,1918,Sunk,Sunk by HMS Ophelia.,Intentional,58.467,-1.833
Atlantic,North Sea,SM UB-88,10/16/18,10,1918,Torpedoed,"Torpedoed by HMS L12 north of Skagen, Denmark.",Intentional,57.917,10.45
Atlantic,North Sea,SM UC-30,4/21/17,4,1917,Others,Struck a mine about ,Intentional,55.817,6.2
Atlantic,North Sea,SM UC-71,2/20/19,2,1919,Sunk,"Sank off Heligoland, Germany.",Unintentional,54.167,7.9
Atlantic,North Sea,HMS Undine (N48),1/7/40,1,1940,Others,Attacked by German minesweepers and scuttled.,Intentional,54.09806,7.40472
Atlantic,North Sea,SMS Vulkan,4/6/19,4,1919,Sunk,Surrendered to British forces and sank under tow.,Intentional,54.9,6.3
Atlantic,North Sea,SMS Wiesbaden,6/1/16,6,1916,Sunk,Sunk in the Battle of Jutland.,Intentional,57.017,5.883
Atlantic,North Sea,SS Yarmouth,10/27/08,10,1908,Sunk,"Foundered southeast of Dunwich, England.",Unintentional,52.00167,2.11667
Atlantic,Norwegian Sea,HMS Acasta (H09),6/8/40,6,1940,Sunk,Sunk by Scharnhorst and Gneisenau.,Intentional,68.75,4.5
Atlantic,Norwegian Sea,WBS 5 Adolf Vinnen,10/23/40,10,1940,Sunk,Sunk by British ships,Intentional,62.483,4.383
Atlantic,Norwegian Sea,HMS Afridi (F07),5/3/40,5,1940,Sunk,Sunk by German aircraft.,Intentional,66.233,5.75
Atlantic,Norwegian Sea,HMS Ardent (H41),6/8/40,6,1940,Sunk,Sunk by Scharnhorst and Gneisenau.,Intentional,68.75,4.5
Atlantic,Norwegian Sea,HMS Glorious,6/8/40,6,1940,Sunk,Sunk by Scharnhorst and Gneisenau.,Intentional,68.633,3.833
Atlantic,Norwegian Sea,HMS Glowworm (H92),4/8/40,4,1940,Sunk,Sunk by the Admiral Hipper off Norway.,Intentional,64.45,6.467
Atlantic,Norwegian Sea,WBS 11 Hessen,5/7/65,5,1965,Sunk,Sunk due to ice damage.,Unintentional,64.667,0.5
Atlantic,Norwegian Sea,USS Howick Hall (ID-1303),3/28/42,3,1942,Sunk,Sunk by German bombers south of Bear Island.,Intentional,72.667,20.333
Atlantic,Norwegian Sea,HMT Juniper (T123),6/8/40,6,1940,Sunk,Sunk by Admiral Hipper,Intentional,67.333,4.167
Atlantic,Norwegian Sea,K-278 Komsomolets,4/7/89,4,1989,Sunk,Caught fire and sank with two nuclear weapons and two nuclear reactors still on board.,Unintentional,73.72167,13.28167
Atlantic,Norwegian Sea,HMS Kite (U87),8/21/44,8,1944,Torpedoed,Torpedoed by U-344.,Intentional,73.017,3.95
Atlantic,Norwegian Sea,HMS Mahratta (G23),2/25/44,2,1944,Torpedoed,Torpedoed by U-990 ,Intentional,71.283,13.5
Atlantic,Norwegian Sea,SS Orizaba,2/26/40,2,1940,Ran aground,"Ran aground north of Troms, Norway.",Unintentional,70.667,20.983
Atlantic,Norwegian Sea,SS Prins Olav,6/9/40,6,1940,Sunk,Sunk by German bombers,Intentional,67.117,1
Atlantic,Norwegian Sea,HMS Punjabi,5/1/42,5,1942,Sunk,Collided with HMSA¾King George V in fog.,Unintentional,66,-8
Atlantic,Norwegian Sea,U-277,5/1/44,5,1944,Sunk,Sunk by a British aircraft ,Intentional,73.4,15.533
Atlantic,Norwegian Sea,U-292,5/27/44,5,1944,Sunk,Sunk by a British aircraft,Intentional,62.617,0.95
Atlantic,Norwegian Sea,U-308,6/4/43,6,1943,Torpedoed,Torpedoed by HMS Truculent ,Intentional,64.467,-3.15
Atlantic,Norwegian Sea,U-317,6/26/44,6,1944,Sunk,Sunk by British aircraft ,Intentional,62.05,1.75
Atlantic,Norwegian Sea,U-335,8/3/42,8,1942,Sunk,Sunk by HMS Saracen,Intentional,62.8,-0.2
Atlantic,Norwegian Sea,U-344,8/22/44,8,1944,Sunk,Sunk by a British aircraft ,Intentional,74.9,15.433
Atlantic,Norwegian Sea,U-347,7/17/44,7,1944,Sunk,Sunk by a British aircraft ,Intentional,68.6,8.55
Atlantic,Norwegian Sea,U-360,4/2/44,4,1944,Sunk,Sunk by HMS Keppel ,Intentional,72.467,13.067
Atlantic,Norwegian Sea,U-361,7/17/44,7,1944,Sunk,Sunk by a British aircraft ,Intentional,68.583,6
Atlantic,Norwegian Sea,U-412,10/22/42,10,1942,Sunk,Sunk by a British aircraft ,Intentional,63.917,0.4
Atlantic,Norwegian Sea,U-423,6/17/44,6,1944,Sunk,Sunk by a Norwegian aircraft,Intentional,63.1,2.083
Atlantic,Norwegian Sea,U-476,5/25/44,5,1944,Others,Attacked by a British aircraft and scuttled by U-990,Intentional,65.133,4.883
Atlantic,Norwegian Sea,U-477,6/3/44,6,1944,Sunk,Sunk by a Canadian aircraft ,Intentional,63.983,1.617
Atlantic,Norwegian Sea,U-478,6/30/44,6,1944,Sunk,Sunk by Allied aircraft ,Intentional,63.45,-0.833
Atlantic,Norwegian Sea,U-601,2/25/44,2,1944,Sunk,Sunk by a British aircraft,Intentional,70.433,12.667
Atlantic,Norwegian Sea,U-644,4/7/43,4,1943,Torpedoed,Torpedoed by HMS Tuna,Intentional,69.633,-5.667
Atlantic,Norwegian Sea,U-674,5/2/44,5,1944,Sunk,Sunk by a British aircraft.,Intentional,70.533,4.617
Atlantic,Norwegian Sea,U-675,5/24/44,5,1944,Sunk,Sunk by a British aircraft.,Intentional,62.45,3.067
Atlantic,Norwegian Sea,U-713,2/24/44,2,1944,Sunk,Sunk by HMS Keppel.,Intentional,69.45,4.883
Atlantic,Norwegian Sea,U-715,6/13/44,6,1944,Sunk,Sunk by a Canadian aircraft.,Intentional,62.917,-2.983
Atlantic,Norwegian Sea,U-867,9/19/44,9,1944,Sunk,Sunk by a British aircraft ,Intentional,62.25,1.833
Atlantic,Norwegian Sea,U-973,3/6/44,3,1944,Sunk,Sunk by British aircraft,Intentional,70.667,5.8
Atlantic,Norwegian Sea,U-989,2/14/45,2,1945,Sunk,Sunk by British ships ,Intentional,61.6,-1.583
Atlantic,Norwegian Sea,U-990,5/25/44,5,1944,Sunk,Sunk by a British aircraft ,Intentional,65.083,7.467
Atlantic,"Saint Helena, Ascension and Tristan da Cunha",RFA Darkdale,10/22/41,10,1941,Torpedoed,Torpedoed by U-68,Intentional,65.083,7.467